protocol_version,seed,seed_group,N,calibration_size_requested,calibration_size_actual,calibration_size_capped,method,threshold,recall,false_positive_rate,empirical_coverage,target_coverage,determines_threshold_1710,target_episode_in_calibration_pool
calibration-tail-robustness-v1.0.0,9,failed,25,100,100,False,TRIMMED_10PCT,52.5269746233,1,0.09,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,25,200|all,119,False,CURRENT_MAX,49250.374652,0.0397350993377,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,25,200|all,119,False,STANDARD_CONFORMAL,49250.374652,0.0397350993377,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,25,200|all,119,False,TRIMMED_5PCT,171.624147752,1,0.04,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,25,200|all,119,False,TRIMMED_10PCT,68.2258987925,1,0.07,0.90756302521,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,100,100,False,CURRENT_MAX,23741.2987493,0.0490066225166,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,100,100,False,TRIMMED_5PCT,40.4801334332,1,0.05,0.95,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,100,100,False,TRIMMED_10PCT,36.1053479254,1,0.1,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,200|all,119,False,CURRENT_MAX,23741.2987493,0.0490066225166,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,200|all,119,False,STANDARD_CONFORMAL,23741.2987493,0.0490066225166,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,200|all,119,False,TRIMMED_5PCT,102.83849464,1,0.02,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,9,failed,50,200|all,119,False,TRIMMED_10PCT,36.7420841812,1,0.05,0.90756302521,0.99,False,True
