seed,N,detector,variant,retained_features,threshold,FPR,recall,success,covariance_condition,lw_shrinkage,calibration_q50,calibration_q90,calibration_q95,calibration_q99,calibration_max,healthy_q50,healthy_q90,healthy_q95,healthy_q99,healthy_max,anomaly_q50,anomaly_q90,anomaly_q95,anomaly_q99,anomaly_max,protocol_version
0,10,TargetOnly,LW_CURRENT,528,80.73736900172884,0.01,1.0,True,59.709633828332386,0.686870886235994,30.344834731105717,35.66906588258262,36.17611140607615,40.51837650481119,80.73736900172884,30.75836613175959,34.96318442776347,36.48089404919122,38.835766275718875,122.22709273835595,157.99146850113834,283.7053062193733,427.3066475964032,466.12870759033217,18656.583322995088,targetonly-regularization-v1.0.0
0,10,TargetOnly,DIAGONAL,528,69.12638002850262,0.01,1.0,True,,,28.17967303130107,34.06311921715063,34.58814135219184,37.99089999732677,69.12638002850262,27.366295140258224,33.39857495941474,35.719862326993116,39.126995364930195,110.40431221958119,126.930071809554,229.12169141798623,339.24734610559125,372.82900982069305,14792.162215611857,targetonly-regularization-v1.0.0
0,10,TargetOnly,PCA_95_LW,9,3.8461769794024407,0.01,0.4066225165562914,False,1.0,1.0,2.0597645606339587,2.738380501443813,3.1176725104784877,3.269564458442212,3.8461769794024407,1.7832852978033211,2.886069612174575,3.182797488863317,3.8282965232304877,7.594966243015604,3.541735010450801,6.013927723977984,7.380104854864776,10.582677647765475,268.15169648223747,targetonly-regularization-v1.0.0
0,10,TargetOnly,PCA_99_LW,9,3.8461769794024407,0.01,0.4066225165562914,False,1.0,1.0,2.0597645606339587,2.738380501443813,3.1176725104784877,3.269564458442212,3.8461769794024407,1.7832852978033211,2.886069612174575,3.182797488863317,3.8282965232304877,7.594966243015604,3.541735010450801,6.013927723977984,7.380104854864776,10.582677647765475,268.15169648223747,targetonly-regularization-v1.0.0
0,10,TargetOnly,PCA_10_LW,10,4.057280971460678,0.01,0.41324503311258276,False,1.0,1.0,2.173160991642635,2.8866960787083156,3.286843720509489,3.4466847119855504,4.057280971460678,1.8919298820239452,3.0573825858000094,3.361681580221705,4.040584758117319,8.015644480403292,3.764098484944306,6.384001480573072,7.87171866195645,11.235934839385454,282.7157902593562,targetonly-regularization-v1.0.0
0,10,TargetOnly,PCA_25_LW,10,4.057280971460678,0.01,0.41324503311258276,False,1.0,1.0,2.173160991642635,2.8866960787083156,3.286843720509489,3.4466847119855504,4.057280971460678,1.8919298820239452,3.0573825858000094,3.361681580221705,4.040584758117319,8.015644480403292,3.764098484944306,6.384001480573072,7.87171866195645,11.235934839385454,282.7157902593562,targetonly-regularization-v1.0.0
0,10,TargetOnly,PCA_50_LW,10,4.057280971460678,0.01,0.41324503311258276,False,1.0,1.0,2.173160991642635,2.8866960787083156,3.286843720509489,3.4466847119855504,4.057280971460678,1.8919298820239452,3.0573825858000094,3.361681580221705,4.040584758117319,8.015644480403292,3.764098484944306,6.384001480573072,7.87171866195645,11.235934839385454,282.7157902593562,targetonly-regularization-v1.0.0
0,10,TargetOnly,TOPVAR_50_LW,50,10.721435577408005,0.05,0.5960264900662252,False,4.576343624574049,0.7420297857104804,8.755696609419033,10.10208442039438,10.400846639373361,10.684708769956579,10.721435577408005,8.66062296206448,10.302160363841676,10.71226442499917,12.750583742453802,21.65804775037446,11.313281878655742,17.531946666112194,20.092649918796155,23.865318036421268,27.399210162142918,targetonly-regularization-v1.0.0
0,10,TargetOnly,TOPVAR_100_LW,100,15.976418631121758,0.02,0.7059602649006622,False,10.67052428214004,0.7077890146967164,12.59842627962303,14.356063135382781,14.744580094150026,15.688870966826135,15.976418631121758,12.441924622423624,14.854119520631924,15.501194606155366,16.13524393214714,25.1679301898321,23.99364328235246,32.490655365793835,36.55725574765854,45.40563002670315,65.20766054865044,targetonly-regularization-v1.0.0
0,10,TargetOnly,TOPVAR_250_LW,250,31.671873600288205,0.01,0.7986754966887417,False,30.13999818404892,0.6848487519614314,20.897491727361526,24.239106239676687,25.231488527369716,25.50101810901993,31.671873600288205,20.711371461449758,23.780107596173426,24.81765493599721,26.676486404523956,43.0228377002063,41.62581473075054,87.16562620468764,123.92864608197553,244.33504841648937,454.25087328091894,targetonly-regularization-v1.0.0
0,25,TargetOnly,LW_CURRENT,531,77.98926576334554,0.01,1.0,True,168.40595128230066,0.4173494482018878,29.212120947159242,33.13792275720389,33.91544773865442,41.75251320615399,77.98926576334554,28.9223339665296,32.816827324799455,33.889613721746855,36.28621287116368,125.40849648186492,196.45711390434263,310.8780911778191,505.6009954557799,589.8950976613121,25581.16697389345,targetonly-regularization-v1.0.0
0,25,TargetOnly,DIAGONAL,531,67.63235147375734,0.01,1.0,True,,,24.23077957242903,29.685668001061327,31.894861877457075,36.814400431965716,67.63235147375734,23.53505620608182,28.206359104000022,29.81051537686885,38.77833376934794,103.42994184864483,130.31225960656502,207.72312493676344,334.47838919291263,391.5224675744599,16652.62344179043,targetonly-regularization-v1.0.0
0,25,TargetOnly,PCA_95_LW,20,8.230949805867267,0.01,0.33642384105960266,False,2.4367385505004666,0.7342345294516509,2.746632170974825,3.6380785633213044,3.9806895010117076,5.092137391052426,8.230949805867267,2.646695422630027,3.3186902940904073,3.671990703994536,5.339782493945034,13.134172796367492,7.365746506584216,12.814855393325352,17.900406750295776,23.58679997944905,679.6949585556055,targetonly-regularization-v1.0.0
0,25,TargetOnly,PCA_99_LW,24,8.906321877633648,0.01,0.433112582781457,False,2.6610201094029886,0.7416632924912961,2.994798120134661,3.9039053669770807,4.277615151001967,5.319280011785652,8.906321877633648,2.8185395833824387,3.5587902784005894,3.8624847977186376,5.611579283993229,14.043385043469495,8.547006963679078,15.195156864579657,20.947771944444494,27.853692817078716,907.6100710515095,targetonly-regularization-v1.0.0
0,25,TargetOnly,PCA_10_LW,10,6.311287973385308,0.01,0.2119205298013245,False,2.3809423696504384,0.6039487570161893,2.1038823276636736,2.829369212769809,3.122748034667436,3.9807113022968776,6.311287973385308,2.0369206678156537,2.6328134383381894,2.8325703602015926,4.343276198603463,10.508772596347333,4.447895232960029,8.196309543730212,11.385166177668639,14.091214597434472,360.23469156100305,targetonly-regularization-v1.0.0
0,25,TargetOnly,PCA_25_LW,25,8.968639655022688,0.01,0.48741721854304637,False,3.2142772734343867,0.7182799838596545,3.0284237155155935,3.897809151351937,4.275443650026321,5.324241707405082,8.968639655022688,2.855132626249861,3.5680802114524823,3.871205376452495,5.592871588479264,14.225664398396193,8.900250730196055,16.15998995361088,22.302319398931594,30.457569681711327,933.7261044560433,targetonly-regularization-v1.0.0
