left_seed,left_N,right_seed,right_N,same_seed,same_N,top250_intersection,top250_union,top250_jaccard,top250_overlap_coefficient,variance_rank_spearman
0,100,13,100,False,True,244,256,0.953125,0.976,0.997173838616
0,100,19,10,False,False,244,256,0.953125,0.976,0.989428746699
0,100,19,25,False,False,247,253,0.97628458498,0.988,0.996243187234
0,100,19,50,False,False,247,253,0.97628458498,0.988,0.995424588204
0,100,19,100,False,True,246,254,0.968503937008,0.984,0.997214426662
3,10,3,25,True,False,245,255,0.960784313725,0.98,0.995735060781
3,10,3,50,True,False,243,257,0.945525291829,0.972,0.993740228183
3,10,3,100,True,False,240,260,0.923076923077,0.96,0.991268348047
3,10,4,10,False,True,239,261,0.915708812261,0.956,0.988206413202
3,10,4,25,False,False,239,261,0.915708812261,0.956,0.990550370535
3,10,4,50,False,False,239,261,0.915708812261,0.956,0.989717595201
3,10,4,100,False,False,239,261,0.915708812261,0.956,0.989688833846
3,10,9,10,False,True,238,262,0.908396946565,0.952,0.990439345736
3,10,9,25,False,False,237,263,0.901140684411,0.948,0.989074498038
3,10,9,50,False,False,241,259,0.930501930502,0.964,0.989093158121
3,10,9,100,False,False,242,258,0.937984496124,0.968,0.990349228578
3,10,13,10,False,True,241,259,0.930501930502,0.964,0.990700967242
3,10,13,25,False,False,241,259,0.930501930502,0.964,0.992587170498
3,10,13,50,False,False,241,259,0.930501930502,0.964,0.991049675155
3,10,13,100,False,False,240,260,0.923076923077,0.96,0.990180608484
3,10,19,10,False,True,238,262,0.908396946565,0.952,0.987424893187
3,10,19,25,False,False,238,262,0.908396946565,0.952,0.991626289273
3,10,19,50,False,False,239,261,0.915708812261,0.956,0.988547065787
3,10,19,100,False,False,241,259,0.930501930502,0.964,0.989248633209
3,25,3,50,True,False,246,254,0.968503937008,0.984,0.997294370133
3,25,3,100,True,False,244,256,0.953125,0.976,0.994204350972
3,25,4,10,False,False,242,258,0.937984496124,0.968,0.988104238843
3,25,4,25,False,True,241,259,0.930501930502,0.964,0.989673740731
3,25,4,50,False,False,242,258,0.937984496124,0.968,0.990718965265
3,25,4,100,False,False,242,258,0.937984496124,0.968,0.992154918165
3,25,9,10,False,False,241,259,0.930501930502,0.964,0.993423394231
3,25,9,25,False,True,241,259,0.930501930502,0.964,0.991743574371
3,25,9,50,False,False,244,256,0.953125,0.976,0.992946881669
3,25,9,100,False,False,245,255,0.960784313725,0.98,0.993593890786
3,25,13,10,False,False,244,256,0.953125,0.976,0.99231316257
3,25,13,25,False,True,243,257,0.945525291829,0.972,0.993949374595
3,25,13,50,False,False,245,255,0.960784313725,0.98,0.992525208371
3,25,13,100,False,False,243,257,0.945525291829,0.972,0.993122196988
3,25,19,10,False,False,241,259,0.930501930502,0.964,0.988039234174
3,25,19,25,False,True,242,258,0.937984496124,0.968,0.991566792856
3,25,19,50,False,False,242,258,0.937984496124,0.968,0.989918129645
3,25,19,100,False,False,245,255,0.960784313725,0.98,0.99221262039
3,50,3,100,True,False,246,254,0.968503937008,0.984,0.996561744942
3,50,4,10,False,False,244,256,0.953125,0.976,0.986835140681
3,50,4,25,False,False,242,258,0.937984496124,0.968,0.98986538493
3,50,4,50,False,True,244,256,0.953125,0.976,0.993319571514
3,50,4,100,False,False,244,256,0.953125,0.976,0.994705553236
3,50,9,10,False,False,243,257,0.945525291829,0.972,0.993433859886
3,50,9,25,False,False,243,257,0.945525291829,0.972,0.994850084205
3,50,9,50,False,True,247,253,0.97628458498,0.988,0.996128565553
3,50,9,100,False,False,248,252,0.984126984127,0.992,0.996731858218
3,50,13,10,False,False,245,255,0.960784313725,0.98,0.993805750173
3,50,13,25,False,False,245,255,0.960784313725,0.98,0.995687576571
3,50,13,50,False,True,247,253,0.97628458498,0.988,0.9964004687
3,50,13,100,False,False,245,255,0.960784313725,0.98,0.995756651623
3,50,19,10,False,False,243,257,0.945525291829,0.972,0.99067901363
3,50,19,25,False,False,244,256,0.953125,0.976,0.994847721098
3,50,19,50,False,True,244,256,0.953125,0.976,0.993130079155
3,50,19,100,False,False,247,253,0.97628458498,0.988,0.995272154459
3,100,4,10,False,False,243,257,0.945525291829,0.972,0.987235239827
3,100,4,25,False,False,246,254,0.968503937008,0.984,0.994548059242
3,100,4,50,False,False,248,252,0.984126984127,0.992,0.997318006826
3,100,4,100,False,True,247,253,0.97628458498,0.988,0.997347954935
3,100,9,10,False,False,242,258,0.937984496124,0.968,0.993591937844
3,100,9,25,False,False,242,258,0.937984496124,0.968,0.994615417109
3,100,9,50,False,False,245,255,0.960784313725,0.98,0.995023893416
3,100,9,100,False,True,246,254,0.968503937008,0.984,0.996067058877
3,100,13,10,False,False,243,257,0.945525291829,0.972,0.991820816029
3,100,13,25,False,False,244,256,0.953125,0.976,0.993289852004
3,100,13,50,False,False,245,255,0.960784313725,0.98,0.995424787548
3,100,13,100,False,True,248,252,0.984126984127,0.992,0.998870875601
3,100,19,10,False,False,242,258,0.937984496124,0.968,0.988404871945
3,100,19,25,False,False,244,256,0.953125,0.976,0.994318712401
3,100,19,50,False,False,246,254,0.968503937008,0.984,0.994686862921
3,100,19,100,False,True,246,254,0.968503937008,0.984,0.996155751825
4,10,4,25,True,False,241,259,0.930501930502,0.964,0.991033723403
4,10,4,50,True,False,242,258,0.937984496124,0.968,0.989082372849
4,10,4,100,True,False,244,256,0.953125,0.976,0.987695310854
4,10,9,10,False,True,244,256,0.953125,0.976,0.987041902021
4,10,9,25,False,False,244,256,0.953125,0.976,0.986126738104
4,10,9,50,False,False,244,256,0.953125,0.976,0.983959338157
4,10,9,100,False,False,245,255,0.960784313725,0.98,0.985101579517
4,10,13,10,False,True,241,259,0.930501930502,0.964,0.984948358291
