detector,commissioning_size,seed,false_positive_rate,recall,success,threshold,retained_features,target_weight
Pooled,25,1,0.09,1.0,False,30.410599403362635,542,
RACE,25,1,0.07,0.9986754966887417,False,27.443439253582792,542,0.29411764705882354
TargetOnly,25,2,0.13,1.0,False,38.96814353731963,531,
SourceOnly,25,2,0.03,0.9125827814569536,False,40.78259704807296,540,
Pooled,25,2,0.01,0.9735099337748344,True,37.40923609790004,542,
RACE,25,2,0.05,0.9986754966887417,False,27.135147543639956,542,0.29411764705882354
TargetOnly,25,3,0.0,0.0013245033112582781,False,28025.798434022483,530,
SourceOnly,25,3,0.0,0.5364238410596026,False,58.514499212873325,540,
Pooled,25,3,0.0,0.7019867549668874,False,46.12700283644683,542,
RACE,25,3,0.0,0.7324503311258278,False,35.00175290306535,542,0.29411764705882354
TargetOnly,25,4,0.08,1.0,False,103.89465620348889,530,
SourceOnly,25,4,0.01,0.7814569536423841,False,43.99057039074646,540,
Pooled,25,4,0.01,0.9721854304635762,True,37.6278224106164,542,
RACE,25,4,0.01,0.7894039735099337,False,33.81812503830788,542,0.29411764705882354
TargetOnly,25,5,0.08,1.0,False,37.5312656333116,533,
SourceOnly,25,5,0.06,0.9311258278145695,False,40.33084436530419,540,
Pooled,25,5,0.0,0.7682119205298014,False,44.14596801062815,542,
RACE,25,5,0.02,0.9986754966887417,False,28.947458715049557,542,0.29411764705882354
TargetOnly,25,6,0.16,1.0,False,38.74440982969733,530,
SourceOnly,25,6,0.24,0.9735099337748344,False,38.65502288543322,540,
Pooled,25,6,0.02,0.9668874172185431,False,37.903118834993506,542,
RACE,25,6,0.04,0.9973509933774835,False,29.85043849259659,542,0.29411764705882354
TargetOnly,25,7,0.14,1.0,False,35.32374549968558,529,
SourceOnly,25,7,0.0,0.8529801324503311,False,42.26305143881004,540,
Pooled,25,7,0.0,0.8993377483443709,False,39.957910962337564,542,
RACE,25,7,0.02,0.9973509933774835,False,28.091997369095665,542,0.29411764705882354
TargetOnly,25,8,0.0,0.0,False,30050.240138151414,532,
SourceOnly,25,8,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,25,8,0.0,0.5006622516556292,False,57.54184212193028,542,
RACE,25,8,0.0,0.35496688741721855,False,56.68476036134241,542,0.29411764705882354
TargetOnly,25,9,0.07,1.0,False,35.14472271669562,532,
SourceOnly,25,9,0.09,0.9536423841059603,False,39.698922242239455,540,
Pooled,25,9,0.01,0.7509933774834437,False,45.10002359525419,542,
RACE,25,9,0.01,0.9986754966887417,True,28.808328034928767,542,0.29411764705882354
TargetOnly,25,10,0.0,0.0,False,23067.512962402627,534,
SourceOnly,25,10,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,25,10,0.0,0.8039735099337748,False,42.30536249865026,542,
RACE,25,10,0.0,0.8437086092715231,False,32.41749576378927,542,0.29411764705882354
TargetOnly,25,11,0.08,1.0,False,41.44851834856264,531,
SourceOnly,25,11,0.0,0.5086092715231788,False,61.9680020221807,540,
Pooled,25,11,0.0,0.4728476821192053,False,59.22942579670706,542,
RACE,25,11,0.0,0.3403973509933775,False,56.70341474037073,542,0.29411764705882354
TargetOnly,25,12,0.0,0.0,False,25085.41876192157,532,
SourceOnly,25,12,0.04,0.8993377483443709,False,41.12913731213414,540,
Pooled,25,12,0.1,1.0,False,30.47585828958846,542,
RACE,25,12,0.1,0.9986754966887417,False,26.724461688334017,542,0.29411764705882354
TargetOnly,25,13,0.0,0.0,False,21706.98937729787,529,
SourceOnly,25,13,0.04,0.9125827814569536,False,40.78259704807296,540,
Pooled,25,13,0.03,0.990728476821192,False,36.047589392722955,542,
RACE,25,13,0.04,0.9986754966887417,False,28.209056280413822,542,0.29411764705882354
TargetOnly,25,14,0.08,1.0,False,55.16087951298678,532,
SourceOnly,25,14,0.02,0.7814569536423841,False,43.99057039074646,540,
Pooled,25,14,0.03,0.9788079470198675,False,37.195947690688506,542,
RACE,25,14,0.02,0.8834437086092716,False,29.838493003193122,542,0.29411764705882354
TargetOnly,25,15,0.01,1.0,True,40.64401474140617,533,
SourceOnly,25,15,0.0,0.5086092715231788,False,61.9680020221807,540,
Pooled,25,15,0.0,0.47019867549668876,False,59.5359009085243,542,
RACE,25,15,0.0,0.33112582781456956,False,58.176156471771705,542,0.29411764705882354
TargetOnly,25,16,0.22,1.0,False,36.718916274491626,533,
SourceOnly,25,16,0.0,0.5364238410596026,False,58.514499212873325,540,
Pooled,25,16,0.0,0.5165562913907285,False,56.29147997804182,542,
RACE,25,16,0.0,0.34966887417218545,False,53.554120755662304,542,0.29411764705882354
TargetOnly,25,17,0.0,0.0,False,8163.906277892646,530,
SourceOnly,25,17,0.09,0.9576158940397351,False,39.54237163613738,540,
Pooled,25,17,0.01,0.7112582781456953,False,46.03980810163894,542,
RACE,25,17,0.01,0.937748344370861,True,31.20194817157214,542,0.29411764705882354
TargetOnly,25,18,0.01,1.0,True,40.044331385087894,532,
SourceOnly,25,18,0.02,0.9112582781456954,False,40.794222123774105,540,
Pooled,25,18,0.0,0.776158940397351,False,43.586105877222394,542,
RACE,25,18,0.01,0.9960264900662251,True,29.446640466153433,542,0.29411764705882354
TargetOnly,25,19,0.15,1.0,False,39.82743798028628,531,
SourceOnly,25,19,0.02,0.7827814569536424,False,43.911866291278244,540,
Pooled,25,19,0.02,0.9748344370860927,False,37.664762967949194,542,
RACE,25,19,0.02,0.9947019867549669,False,29.95177864824451,542,0.29411764705882354
TargetOnly,50,0,0.0,1.0,True,58.7008402620024,532,
SourceOnly,50,0,0.05,0.8543046357615894,False,42.22916597679238,540,
Pooled,50,0,0.06,0.9986754966887417,False,32.72702283098587,542,
RACE,50,0,0.06,1.0,False,25.66680244237315,542,0.45454545454545453
TargetOnly,50,1,0.02,1.0,False,57.845645663112194,532,
