protocol_version,seed,N,detector,score_variant,clip,analysis_role,threshold,threshold_rank,finite_sample_alpha_supported,interior_order_statistic,recall,false_positive_rate,success,auroc,auprc,max_to_second_calibration_ratio,threshold_setter_ids,threshold_setter_count,effective_feature_dimension,mean_calibration_clipped_fraction,mean_healthy_clipped_fraction,mean_anomaly_clipped_fraction,target_weight
bounded-robust-whitening-v1.0.0,0,50,TargetOnly,ROBUST_DIAGONAL,3,primary,36.744716629,100,True,False,0.350993377483,0,False,0.970092715232,0.995440882422,1.10315486199,1962,1,514,0.0296498054475,0.0282684824903,0.119893318216,
bounded-robust-whitening-v1.0.0,0,50,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,33.6432814544,100,True,False,0.343046357616,0,False,0.964953642384,0.994731017341,1.08356093137,1962,1,514,0.045,0.0416147859922,0.159352694102,
bounded-robust-whitening-v1.0.0,0,50,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,41.4916838223,100,True,False,0.35761589404,0,False,0.97582781457,0.996291428046,1.1659661289,1962,1,514,0.0191439688716,0.0186186770428,0.0789213286263,
bounded-robust-whitening-v1.0.0,0,50,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,6.12428890298,100,True,False,0.479470198675,0.01,False,0.881298013245,0.983368971055,1.06918616897,1899,1,514,0.000350194552529,0.000233463035019,0.00307934135594,1
bounded-robust-whitening-v1.0.0,0,50,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,5.8979940659,100,True,False,0.459602649007,0.01,False,0.876463576159,0.982763962772,1.11199294478,1899,1,514,0.00079766536965,0.00068093385214,0.00484448681939,1
bounded-robust-whitening-v1.0.0,0,50,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,6.12428890298,100,True,False,0.53642384106,0.02,False,0.880781456954,0.98305789645,1.02880893139,1899,1,514,1.94552529183e-05,1.94552529183e-05,0.00157961192568,1
bounded-robust-whitening-v1.0.0,0,50,RACE,BOUNDED_ROBUST_WHITENING,3,primary,5.77856736076,100,True,False,0.27417218543,0.01,False,0.64378807947,0.94162891018,1.01518308524,1792,1,514,0.000778210116732,0.000544747081712,0.00187595021517,0.454545454545
bounded-robust-whitening-v1.0.0,0,50,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,5.56340882022,100,True,False,0.245033112583,0,False,0.64378807947,0.940207618738,1.02007847083,1995,1,514,0.00175097276265,0.00153696498054,0.00291957636509,0.454545454545
bounded-robust-whitening-v1.0.0,0,50,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,6.27698117723,100,True,False,0.227814569536,0,False,0.641801324503,0.942518514556,1.03822545078,1899,1,514,0.000155642023346,0,0.000646790527482,0.454545454545
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,CURRENT_MAHALANOBIS,none,reference,81.5119052158,100,True,False,1,0.01,True,1,1,1.98275992081,1962,1,533,0,0,0,
bounded-robust-whitening-v1.0.0,0,100,RACE,CURRENT_MAHALANOBIS,none,reference,28.9278928097,100,True,False,1,0.01,True,0.999947019868,0.999992978098,1.05378385398,1962,1,542,0,0,0,0.625
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,ROBUST_DIAGONAL,3,primary,35.4607073788,100,True,False,0.365562913907,0,False,0.97442384106,0.996131049268,1.09699852556,1962,1,513,0.02522417154,0.0234307992203,0.109329615429,
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,32.5719838604,100,True,False,0.36821192053,0,False,0.969377483444,0.99539227895,1.06892032111,1962,1,513,0.0367641325536,0.0347173489279,0.14441475285,
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,39.7208484938,100,True,False,0.374834437086,0,False,0.97940397351,0.996856653245,1.16846601294,1962,1,513,0.01738791423,0.0163352826511,0.0717529659321,
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,5.76030605562,100,True,False,0.491390728477,0,False,0.865880794702,0.981392912281,1.02959966301,1764,1,513,0.000175438596491,5.84795321637e-05,0.00314730903786,1
bounded-robust-whitening-v1.0.0,0,100,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,5.29222342707,100,True,False,0.501986754967,0,False,0.861470198675,0.980554414202,1.00525015164,1707,1,513,0.00056530214425,0.000448343079922,0.00457766933891,1
