protocol_version,detector,commissioning_size,seed,false_positive_rate,recall,success,threshold,retained_features,target_weight
nested-split-conformal-v2,TargetOnly,10,13,0.0,1.0,True,63.20518864518722,528,
nested-split-conformal-v2,Pooled,10,14,0.0,0.5099337748344371,False,60.84422984232929,542,
nested-split-conformal-v2,RACE,10,14,0.0,0.4052980132450331,False,53.92112528855597,542,0.14285714285714285
nested-split-conformal-v2,SourceOnly,10,14,0.0,0.49933774834437084,False,62.88028961107517,540,
nested-split-conformal-v2,TargetOnly,10,14,0.0,0.5576158940397351,False,22539.23313059369,528,
nested-split-conformal-v2,Pooled,10,15,0.04,0.5258278145695364,False,66.27120792283203,542,
nested-split-conformal-v2,RACE,10,15,0.0,0.46357615894039733,False,56.36749025070996,542,0.14285714285714285
nested-split-conformal-v2,SourceOnly,10,15,0.0,0.49933774834437084,False,62.88028961107517,540,
nested-split-conformal-v2,TargetOnly,10,15,0.01,0.5695364238410596,False,23840.531533776535,530,
nested-split-conformal-v2,Pooled,10,16,0.0,0.5655629139072847,False,63.01454515461107,542,
nested-split-conformal-v2,RACE,10,16,0.01,0.45827814569536424,False,56.58060713820168,542,0.14285714285714285
nested-split-conformal-v2,SourceOnly,10,16,0.01,0.5086092715231788,False,61.968002022180706,540,
nested-split-conformal-v2,TargetOnly,10,16,0.01,1.0,True,105.31650239268062,529,
nested-split-conformal-v2,Pooled,10,17,0.0,0.519205298013245,False,59.42857465555818,542,
nested-split-conformal-v2,RACE,10,17,0.0,0.43443708609271525,False,56.97260661221087,542,0.14285714285714285
nested-split-conformal-v2,SourceOnly,10,17,0.0,0.49933774834437084,False,62.88028961107517,540,
nested-split-conformal-v2,TargetOnly,10,17,0.03,1.0,False,38.85946421696862,529,
nested-split-conformal-v2,Pooled,10,18,0.05,0.5973509933774834,False,58.817451402284576,542,
nested-split-conformal-v2,RACE,10,18,0.03,0.5417218543046357,False,47.96790192569768,542,0.14285714285714285
nested-split-conformal-v2,SourceOnly,10,18,0.03,0.6119205298013245,False,51.03482439502569,540,
nested-split-conformal-v2,TargetOnly,10,18,0.01,0.5536423841059602,False,19984.69226052916,530,
nested-split-conformal-v2,Pooled,10,19,0.01,0.633112582781457,False,52.461037517359294,542,
nested-split-conformal-v2,RACE,10,19,0.02,0.6516556291390728,False,40.87708790415145,542,0.14285714285714285
nested-split-conformal-v2,SourceOnly,10,19,0.02,0.8543046357615894,False,42.22916597679236,540,
nested-split-conformal-v2,TargetOnly,10,19,0.0,0.14701986754966886,False,17947.34272121338,527,
nested-split-conformal-v2,Pooled,25,0,0.0,0.5364238410596026,False,56.41415922864852,542,
nested-split-conformal-v2,RACE,25,0,0.0,0.4278145695364238,False,54.5249929639368,542,0.29411764705882354
nested-split-conformal-v2,SourceOnly,25,0,0.0,0.5364238410596026,False,58.514499212873325,540,
nested-split-conformal-v2,TargetOnly,25,0,0.01,1.0,True,77.98926576334556,531,
nested-split-conformal-v2,Pooled,25,1,0.0,0.5152317880794702,False,58.98026916721841,542,
