seed,commissioning_size,detector,count,median_score,q95,q99,second_max,maximum,max_minus_second,max_to_second_ratio,max_to_median_ratio
0,10,Pooled,100.0,28.864511561190767,40.36200049510581,48.573668945048055,48.47745516844698,58.09883282854951,9.621377660102532,1.198471178544143,2.0128119163001945
0,10,RACE,100.0,29.95541603748667,33.25076296924393,47.24028366627151,47.17333214148778,53.86848461985673,6.6951524783689464,1.1419266389384592,1.7982886484515814
0,10,SourceOnly,100.0,36.36517993843112,40.60954688122528,51.109621143204286,51.03482439502577,58.51449921287333,7.47967481784756,1.1465602146477962,1.6090804256143545
0,10,TargetOnly,100.0,30.344834731105713,36.17611140607616,40.51837650481119,40.11212405534716,80.73736900172884,40.62524494638168,2.012792164541736,2.660662670176517
0,25,Pooled,100.0,26.79252334549179,34.692429922556315,48.0989350332819,48.01494286969229,56.41415922864847,8.399216358956181,1.174929216967951,2.1055933590570493
0,25,RACE,100.0,23.052773469012678,26.312653438325352,45.14969927554911,45.05499933930272,54.52499296393688,9.469993624634164,1.2101874101321588,2.3652248627363153
0,25,SourceOnly,100.0,36.36517993843112,40.60954688122528,51.109621143204286,51.03482439502577,58.51449921287333,7.47967481784756,1.1465602146477962,1.6090804256143545
0,25,TargetOnly,100.0,29.212120947159242,33.91544773865442,41.75251320615399,41.38648540254581,77.98926576334554,36.602780360799734,1.884413837144726,2.6697570472345205
0,50,Pooled,100.0,25.43031820272281,30.207437571397985,47.30565762644841,47.21499852232896,56.280908934268616,9.065910411939655,1.192013357951334,2.213142143390194
0,50,RACE,100.0,22.28698975245626,24.916806222794662,48.03479713176545,47.92435922191448,58.968150207005976,11.043790985091498,1.2304421209671903,2.645855311191457
0,50,SourceOnly,100.0,36.36517993843112,40.60954688122528,51.109621143204286,51.03482439502577,58.51449921287333,7.47967481784756,1.1465602146477962,1.6090804256143545
0,50,TargetOnly,100.0,30.165617693463016,36.18320643917669,38.69429193265159,38.2317182732123,84.48908421711731,46.25736594390501,2.209921186731385,2.80084051570495
0,100,Pooled,100.0,24.573107118734924,27.299443696366378,30.856787184340046,30.827762952979302,33.73018608905201,2.9024231360727093,1.0941496514197184,1.3726463619790101
0,100,RACE,100.0,23.062308989492717,26.10542841162204,27.46621257857801,27.45144813179904,28.92789280969505,1.4764446778960085,1.0537838539813036,1.2543363642762186
0,100,SourceOnly,100.0,36.36517993843112,40.60954688122528,51.109621143204286,51.03482439502577,58.51449921287333,7.47967481784756,1.1465602146477962,1.6090804256143545
0,100,TargetOnly,100.0,32.16133680451448,39.322398074373915,41.514341038999945,41.11032523923452,81.51190521575606,40.40157997652154,1.9827599208084938,2.53446881611943
1,10,Pooled,100.0,29.67377587848941,65.7622111368474,66.44259906079512,66.40605502825008,70.06045828275145,3.654403254501375,1.055031175288861,2.361022694571824
1,10,RACE,100.0,27.09711823710177,38.907710189099866,44.79308919664531,44.68553045255633,55.44140486144903,10.755874408892701,1.240701504490642,2.046025868003109
1,10,SourceOnly,100.0,36.94291290722964,41.150084873157006,44.17034470706096,43.99057039074653,61.96800202218071,17.977431631434186,1.4086655724567683,1.6773989148552961
1,10,TargetOnly,100.0,30.86352482984818,21906.759509268722,21907.23521274085,21907.233516248736,21907.403165459964,0.16964921122780652,1.0000077439815074,709.8153333501709
1,25,Pooled,100.0,26.979565465793783,44.364909951243156,50.49577314719833,50.41007116719808,58.980269167218346,8.570198000020262,1.1700096389785877,2.186108936483683
1,25,RACE,100.0,23.776079035229877,28.61155043816269,35.78734830949806,35.573960063635155,56.91278464991476,21.338824586279607,1.599843946192902,2.393699338128252
1,25,SourceOnly,100.0,36.94291290722964,41.150084873157006,44.17034470706096,43.99057039074653,61.96800202218071,17.977431631434186,1.4086655724567683,1.6773989148552961
1,25,TargetOnly,100.0,30.26974043233727,38.464674808305475,61.06124697409614,60.56220324287113,110.46657636534724,49.90437312247611,1.824018454585376,3.649406132579036
1,50,Pooled,100.0,25.886894302642055,34.36439946017754,42.06503783944059,41.89357008502992,59.04034552608832,17.146775441058402,1.4092937270864285,2.280704082762936
1,50,RACE,100.0,23.031496926732117,26.198518087045308,34.680150408932406,34.41182529675972,61.24433651401399,26.832511217254265,1.7797468162719303,2.6591557078918795
1,50,SourceOnly,100.0,36.94291290722964,41.150084873157006,44.17034470706096,43.99057039074653,61.96800202218071,17.977431631434186,1.4086655724567683,1.6773989148552961
1,50,TargetOnly,100.0,30.75130629174098,37.442055666306075,64.37857618492643,63.77297053826755,124.33353520412513,60.56056466585758,1.949627469987738,4.043195239400869
1,100,Pooled,100.0,25.027034249330704,29.38911272631932,37.397787469811796,37.17926045062818,59.03196236897907,21.852701918350895,1.5877659117875669,2.358727837300888
1,100,RACE,100.0,23.521228101786875,26.399689552447825,34.370389395388344,34.00675944525286,70.3697544587824,36.362995013529535,2.0692872713164556,2.9917551139022587
1,100,SourceOnly,100.0,36.94291290722964,41.150084873157006,44.17034470706096,43.99057039074653,61.96800202218071,17.977431631434186,1.4086655724567683,1.6773989148552961
1,100,TargetOnly,100.0,32.722944209286936,39.19928433533376,66.2239830203686,65.66615121464751,121.449331786729,55.78318057208149,1.8494967276175382,3.7114426810122136
2,10,Pooled,100.0,28.049603867708456,39.79397264278833,48.00030830637767,47.99128496372797,48.89361922869721,0.902334264969241,1.0188020442805652,1.743112646413699
2,10,RACE,100.0,43.31332373297603,44.82512523533373,45.90850514236022,45.80019693650929,56.63101752159665,10.83082058508736,1.2364797819559952,1.3074733740297415
2,10,SourceOnly,100.0,36.59791278314364,40.58617387061515,41.66652110299757,41.57189177681542,51.03482439502577,9.462932618210353,1.2276281452144022,1.3944736328933907
2,10,TargetOnly,100.0,32.32765390424889,38.42434903093505,40.168070789569676,40.15232814360766,41.72659273980858,1.5742645962009192,1.039207305503443,1.2907398991401713
2,25,Pooled,100.0,26.263720602442227,32.47645901611317,42.34161468649827,42.29242986475429,47.21091203914953,4.918482174395237,1.1162969871942545,1.7975713629377952
2,25,RACE,100.0,24.67385988071147,27.01337610550285,35.66238729987421,35.555807850941314,46.21375274422592,10.657944893284608,1.2997525731370057,1.872984322990058
2,25,SourceOnly,100.0,36.59791278314364,40.58617387061515,41.66652110299757,41.57189177681542,51.03482439502577,9.462932618210353,1.2276281452144022,1.3944736328933907
2,25,TargetOnly,100.0,29.209318542213307,21953.551552654306,21955.08315648766,21955.082359137123,21955.162094190797,0.07973505367408507,1.0000036317355758,751.6492403772172
2,50,Pooled,100.0,25.209076715386985,29.221774930152257,39.870849786709854,39.80215077975914,46.67205147482712,6.869900695067983,1.172601242909757,1.8513986847578467
2,50,RACE,100.0,22.970331819342878,25.707602867334053,35.61588971910271,35.48610134380057,48.46493887400819,12.97883753020762,1.3657442502478516,2.1098928502720535
2,50,SourceOnly,100.0,36.59791278314364,40.58617387061515,41.66652110299757,41.57189177681542,51.03482439502577,9.462932618210353,1.2276281452144022,1.3944736328933907
2,50,TargetOnly,100.0,31.891722372752035,36.597358227888755,39.43833156351219,39.30468875316912,52.66896978747002,13.364281034300902,1.3400174752235723,1.6514934242770736
2,100,Pooled,100.0,24.30644993898997,27.157857611390764,36.78436209927805,36.68286686344348,46.83239044689495,10.149523583451469,1.2766829435996463,1.9267474503453144
2,100,RACE,100.0,24.249923847504775,27.026937152182036,36.112476262354164,35.90802509514466,56.35314181608504,20.445116720940383,1.569374580383283,2.3238481972339704
2,100,SourceOnly,100.0,36.59791278314364,40.58617387061515,41.66652110299757,41.57189177681542,51.03482439502577,9.462932618210353,1.2276281452144022,1.3944736328933907
2,100,TargetOnly,100.0,34.32191127691039,41.41694089960763,44.0875018674475,44.05749421331453,47.05825962661042,3.0007654132958947,1.0681102152284694,1.3710850554604235
3,10,Pooled,100.0,28.804358722632557,39.72337199741595,43.4510875746912,43.29776539575319,58.62998328954637,15.332217893793178,1.3541110667872256,2.0354552536341943
3,10,RACE,100.0,33.538998947900154,35.68143883452277,37.027210033680824,36.80740451153876,58.78795672573337,21.98055221419461,1.597177456707221,1.7528238340403428
3,10,SourceOnly,100.0,36.34567824276698,40.81096788319211,42.21764780307218,42.00893424945588,62.88028961107519,20.871355361619308,1.4968313463436564,1.730062352697704
3,10,TargetOnly,100.0,30.322966501069807,21818.33094805831,21819.447752549342,21819.4454348914,21819.67720068573,0.23176579433129518,1.0000106219837266,719.5759425422946
3,25,Pooled,100.0,26.775511905561277,35.72808726466391,37.800183658353475,37.79404391103778,38.408018642606805,0.6139747315690229,1.0162452775102404,1.434445727053661
3,25,RACE,100.0,23.83020448440864,26.52817124599039,27.382712526346438,27.35002371205245,30.61890514144953,3.26888142939708,1.119520241145406,1.2848779858973736
3,25,SourceOnly,100.0,36.34567824276698,40.81096788319211,42.21764780307218,42.00893424945588,62.88028961107519,20.871355361619308,1.4968313463436564,1.730062352697704
3,25,TargetOnly,100.0,29.328927908303726,36.40349659221532,42.33625814932441,42.0016264480115,75.46479657928555,33.46317013127405,1.7967112933756,2.57304995311198
3,50,Pooled,100.0,25.805990932605866,30.75931277506707,33.126734512691314,33.08484598267759,37.27369898404782,4.1888530013702265,1.1266094151855326,1.444381619810325
3,50,RACE,100.0,22.285144739648146,25.16038579240865,26.455440154501257,26.42240113858018,29.726302730686147,3.303901592105966,1.1250416862107901,1.3339066484858508
3,50,SourceOnly,100.0,36.34567824276698,40.81096788319211,42.21764780307218,42.00893424945588,62.88028961107519,20.871355361619308,1.4968313463436564,1.730062352697704
3,50,TargetOnly,100.0,30.57621064045433,35.60028125659692,38.88865338248141,38.508314967172446,76.54215649804942,38.03384153087698,1.987678675717181,2.503323822500723
3,100,Pooled,100.0,24.76073879876919,28.247919786115784,30.050959463723416,29.98000295567261,37.07565376074965,7.095650805077042,1.236679456488661,1.4973565232469
3,100,RACE,100.0,22.547920036310238,24.987342845943804,27.44141004183071,27.412944199250653,30.25952845725512,2.846584258004466,1.1038408803269764,1.3420097467316907
3,100,SourceOnly,100.0,36.34567824276698,40.81096788319211,42.21764780307218,42.00893424945588,62.88028961107519,20.871355361619308,1.4968313463436564,1.730062352697704
3,100,TargetOnly,100.0,29.88385789177738,34.82593029616261,37.46638431707093,37.38124228112976,45.89544587524323,8.514203594113475,1.2277667373941579,1.5357938737846655
4,10,Pooled,100.0,28.99785568466778,44.525173889898184,49.141052143790894,49.04588606505632,58.562493938508936,9.516607873452614,1.1940347832808937,2.019545671767484
