seed,commissioning_size,detector,split,context_type,context,episode_count,score_mean,score_std,score_median,score_q90,score_q95,score_q99,score_max,score_second_max,max_second_ratio,max_second_gap,predicted_anomaly_count,predicted_anomaly_rate,threshold_episode_count
0,10,Pooled,anomaly_evaluation,exploratory_cluster,0,260,108.38422710679606,133.63832763809518,52.45565330093528,253.75576366781473,541.3061715021317,553.295384585491,613.5747393091391,554.9252055234921,1.1056890788197657,58.64953378564701,113,0.4346153846153846,0
0,10,Pooled,anomaly_evaluation,exploratory_cluster,1,208,113.31965950382089,154.1804966209502,65.3779786792549,329.193965169771,425.7140576543242,552.7367109653611,1472.113714686824,553.8907100429163,2.657769281908993,918.2230046439078,126,0.6057692307692307,0
0,10,Pooled,anomaly_evaluation,exploratory_cluster,2,287,107.67676505366225,116.66331923337917,65.71763260184467,232.94867919087616,427.3846198329136,551.5748998266791,553.9070139690398,553.0734963831193,1.0015070647777762,0.8335175859205037,165,0.5749128919860628,0
0,10,Pooled,calibration,exploratory_cluster,0,43,28.907706464534375,3.194982840657075,28.352074665664524,31.329309465376408,32.215256939548425,40.208074585471564,45.23371850692684,33.26789964631909,1.3596806226969518,11.965818860607754,0,0.0,0
0,10,Pooled,calibration,exploratory_cluster,1,32,32.21705124877629,7.416533430015066,29.59486441661262,44.42292765745975,47.66163813815967,55.11620575391774,58.09883282854951,48.47745516844698,1.198471178544143,9.621377660102532,0,0.0,1
0,10,Pooled,calibration,exploratory_cluster,2,25,28.664781092253502,1.7168893255885203,28.914174865542318,30.313563198217626,31.400831899702393,32.260375331878244,32.469784126946486,31.597247480828816,1.0276143245277003,0.8725366461176698,0,0.0,0
0,10,Pooled,healthy_evaluation,exploratory_cluster,0,38,29.23386678936099,4.342385155339892,27.943250931478218,34.02114555785082,40.394364538896355,41.47481168709035,41.69816624572786,41.094505276437296,1.0146895786974395,0.6036609692905657,0,0.0,0
0,10,Pooled,healthy_evaluation,exploratory_cluster,1,35,29.021267746290516,2.4192015102522477,29.166890016301924,31.89796160788953,33.5771594173385,34.74285068410634,35.06090655666552,34.12544810796204,1.027412341831937,0.9354584487034785,0,0.0,0
0,10,Pooled,healthy_evaluation,exploratory_cluster,2,27,29.809712666663454,5.174245549504966,28.219412057242014,34.47792722183737,42.36226096258511,46.133637455504505,46.71549445844653,44.47758290866954,1.0503154938606336,2.237911549776989,0,0.0,0
0,10,RACE,anomaly_evaluation,exploratory_cluster,0,260,82.15313202958085,93.69930926508482,41.98042578087662,200.3059580616288,350.55551963112435,389.3868908282485,390.24228037725254,390.1867166856893,1.0001424028271264,0.05556369156323626,93,0.3576923076923077,0
