detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
Pooled,25,12,48.33858499183505,48.33858499183485,0.01,0.01,0.6940397350993377,0.6940397350993377,542,542,,,True
RACE,25,12,29.97272732853539,29.97272732853538,0.03,0.03,0.9841059602649007,0.9841059602649008,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,12,43.91186629127825,43.91186629127832,0.01,0.01,0.7827814569536424,0.7827814569536424,540,540,,,True
TargetOnly,50,12,61.266744214177734,61.266744214177706,0.02,0.02,1.0,1.0,533,533,,,True
Pooled,50,12,35.43992009127123,35.439920091271105,0.01,0.01,0.9920529801324504,0.9920529801324504,542,542,,,True
RACE,50,12,27.580815511632004,27.58081551163198,0.03,0.03,1.0,1.0,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,12,43.91186629127825,43.91186629127832,0.01,0.01,0.7827814569536424,0.7827814569536424,540,540,,,True
TargetOnly,100,12,67.4633099788238,67.46330997882382,0.02,0.02,1.0,1.0,534,534,,,True
Pooled,100,12,32.15027947599395,32.150279475993884,0.03,0.03,1.0,1.0,542,542,,,True
RACE,100,12,28.75849336821732,28.75849336821732,0.03,0.03,1.0,1.0,542,542,0.625,0.625,True
SourceOnly,10,13,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,10,13,63.20518864518739,63.20518864518722,0.0,0.0,1.0,1.0,528,528,,,True
Pooled,10,13,59.46049145954794,59.460491459548265,0.01,0.01,0.5165562913907285,0.5165562913907285,542,542,,,True
RACE,10,13,55.585406744616684,55.58540674461659,0.01,0.01,0.45165562913907287,0.4516556291390728,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,13,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,25,13,69.346188395928,69.34618839592801,0.0,0.0,1.0,1.0,529,529,,,True
Pooled,25,13,57.89692116471215,57.89692116471215,0.01,0.01,0.5298013245033113,0.5298013245033113,542,542,,,True
RACE,25,13,56.40868170971771,56.40868170971789,0.01,0.01,0.4291390728476821,0.4291390728476821,542,542,0.29411764705882354,0.2941176470588235,True
